sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ERR4613676	332465	310812	93.49	304120	291862	87.79	282225	84.89
ERR4613677	324271	302687	93.34	297601	287611	88.69	283565	87.45
ERR4613678	289741	270806	93.46	265775	256227	88.43	250814	86.56
ERR4613679	268196	248779	92.76	244068	233967	87.24	226400	84.42
ERR4613680	294146	272893	92.77	267936	257483	87.54	248415	84.45
ERR4613681	258967	240484	92.86	236196	226532	87.48	218688	84.45
ERR4613682	288976	268381	92.87	262276	249651	86.39	240397	83.19
ERR4613683	281036	261441	93.03	254659	242739	86.37	234731	83.52
ERR4613684	269427	250646	93.03	246954	240588	89.3	236765	87.88
ERR4613685	256284	239540	93.47	235101	226917	88.54	218573	85.29
ERR4613686	258143	240151	93.03	236536	227310	88.06	217172	84.13
ERR4613687	244509	227626	93.1	224163	214851	87.87	202744	82.92
ERR4613688	266294	248205	93.21	244742	237326	89.12	229328	86.12
ERR4613689	234080	218116	93.18	215022	208805	89.2	202344	86.44
ERR4613690	182629	170817	93.53	167150	159912	87.56	150964	82.66
ERR4613691	199727	186214	93.23	182788	174685	87.46	164933	82.58
ERR4613692	202339	189474	93.64	185647	177351	87.65	166426	82.25
ERR4613693	216797	200999	92.71	197703	191020	88.11	187966	86.7
ERR4613694	205247	191839	93.47	188309	180308	87.85	170644	83.14
ERR4613695	242944	225728	92.91	221983	215519	88.71	211725	87.15
ERR4613696	230679	214053	92.79	210162	203638	88.28	200187	86.78
ERR4613697	242395	224325	92.55	219647	212407	87.63	209220	86.31
ERR4613698	217450	200876	92.38	197417	191844	88.22	188577	86.72
ERR4613699	242645	224695	92.6	221545	215495	88.81	211636	87.22
ERR4613700	214560	198451	92.49	195121	189352	88.25	186121	86.75
ERR4613701	209854	196072	93.43	182228	166333	79.26	165151	78.7
ERR4613702	244364	226012	92.49	222854	217064	88.83	213381	87.32
ERR4613703	236458	219094	92.66	215457	208605	88.22	204565	86.51
ERR4613704	259080	239150	92.31	235106	227686	87.88	223895	86.42
ERR4613705	250442	232144	92.69	229268	223174	89.11	218576	87.28
ERR4613706	273545	253364	92.62	249966	242916	88.8	237629	86.87
ERR4613707	244850	226184	92.38	222094	214603	87.65	210618	86.02
ERR4613708	246583	229309	92.99	224607	217392	88.16	213568	86.61
ERR4613709	224938	209046	92.93	205098	197986	88.02	194188	86.33
ERR4613710	276731	257566	93.07	252217	242554	87.65	236635	85.51
ERR4613711	230242	213103	92.56	208581	201642	87.58	198482	86.21
ERR4613712	188107	175532	93.31	162776	149646	79.55	148544	78.97
ERR4613713	208659	192807	92.4	189443	183697	88.04	180638	86.57
ERR4613714	281693	261209	92.73	257385	251474	89.27	246239	87.41
ERR4613715	241719	225274	93.2	221134	214907	88.91	207850	85.99
ERR4613716	218802	203110	92.83	200245	196060	89.61	191872	87.69
ERR4613717	261985	244162	93.2	240427	235117	89.74	231027	88.18
ERR4613718	192361	178648	92.87	174513	167447	87.05	159400	82.87
ERR4613719	203477	189138	92.95	184979	177014	86.99	168464	82.79
ERR4613720	231647	215371	92.97	211667	203212	87.72	191269	82.57
ERR4613721	202470	187720	92.71	183289	175555	86.71	166945	82.45
ERR4613722	201092	187298	93.14	182491	174205	86.63	166838	82.97
ERR4613723	217958	203235	93.25	188444	172813	79.29	171134	78.52
ERR4613724	207390	193828	93.46	180385	165735	79.91	163910	79.03
